ID,SKU,Nombre,Publicado,"Visibilidad en el catálogo",Categorías,Imágenes
566,AR-MANGO-TROPICAL-250,"Aroma Mango Tropical - 250 mL",1,visible,,
567,AR-MANGO-TROPICAL-500,"Aroma Mango Tropical - 500 mL",1,visible,,
568,AR-MANGO-TROPICAL-1L,"Aroma Mango Tropical - 1 L",1,visible,,
569,AR-MATCHA-150,"Aroma Matcha - 150 mL",1,visible,,
570,AR-MATCHA-250,"Aroma Matcha - 250 mL",1,visible,,
571,AR-MATCHA-500,"Aroma Matcha - 500 mL",1,visible,,
572,AR-MATCHA-1L,"Aroma Matcha - 1 L",1,visible,,
573,AR-MOCA-150,"Aroma Moca - 150 mL",0,visible,,
574,AR-MOCA-250,"Aroma Moca - 250 mL",0,visible,,
575,AR-MOCA-500,"Aroma Moca - 500 mL",0,visible,,
576,AR-MOCA-1L,"Aroma Moca - 1 L",0,visible,,
577,AR-MOONLIGHT-150,"Aroma Moonlight - 150 mL",1,visible,,
578,AR-MOONLIGHT-250,"Aroma Moonlight - 250 mL",1,visible,,
579,AR-MOONLIGHT-500,"Aroma Moonlight - 500 mL",1,visible,,
580,AR-MOONLIGHT-1L,"Aroma Moonlight - 1 L",1,visible,,
581,AR-PASION,"Aroma Pasión",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/pasion.png
582,AR-PASSION-SOUR,"Aroma Passion Sour",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/passion-sour.png
583,AR-PEONIA,"Aroma Peonia",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/peonia.png
584,AR-PINK-GLOW,"Aroma Pink Glow",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/pink-glow.png
585,AR-PRIMAVERA,"Aroma Primavera",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/primavera.png
586,AR-RED-CARPET,"Aroma Red Carpet",0,visible,Aromas,
587,AR-PASION-150,"Aroma Pasión - 150 mL",1,visible,,
588,AR-PASION-250,"Aroma Pasión - 250 mL",1,visible,,
589,AR-PASION-500,"Aroma Pasión - 500 mL",1,visible,,
590,AR-PASION-1L,"Aroma Pasión - 1 L",1,visible,,
591,AR-PASSION-SOUR-150,"Aroma Passion Sour - 150 mL",1,visible,,
