ID,Tipo,SKU,Nombre,Publicado,Visibilidad en el catálogo,Descripción corta,¿Existencias?,Inventario,Estado del impuesto,Precio normal,Categorías,Imágenes,Superior,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1,Meta: notas_de_salida,Meta: _notas_de_salida,Meta: notas_de_corazon,Meta: _notas_de_corazon,Meta: notas_de_fondo,Meta: _notas_de_fondo
,variation,AR-MATCHA-500,Aroma Matcha 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-MATCHA,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-MATCHA-1L,Aroma Matcha 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-MATCHA,Capacidad,1 L,1,1,,,,,,,
,variable,AR-MOCA,Aroma Moca,0,visible,,1,,taxable,,Aromas,,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Espresso, cacao amargo",field_6a3739f9978a5,"Avellana, caramelo",field_6a373a0b978a6,"Vainilla oscura, madera tostada",field_6a373a15978a7
,variation,AR-MOCA-150,Aroma Moca 150 ML,0,visible,,1,100,taxable,90.00,Aromas,,AR-MOCA,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-MOCA-250,Aroma Moca 250 ML,0,visible,,1,100,taxable,125.00,Aromas,,AR-MOCA,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-MOCA-500,Aroma Moca 500 ML,0,visible,,1,100,taxable,229.00,Aromas,,AR-MOCA,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-MOCA-1L,Aroma Moca 1 L,0,visible,,1,100,taxable,439.00,Aromas,,AR-MOCA,Capacidad,1 L,1,1,,,,,,,
,variable,AR-MOONLIGHT,Aroma Moonlight,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/moonlight.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Vainilla cremosa, coco suave",field_6a3739f9978a5,"Leche de almendra, caramelo",field_6a373a0b978a6,"Madera dulce, almizcle cálido",field_6a373a15978a7
,variation,AR-MOONLIGHT-150,Aroma Moonlight 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-MOONLIGHT,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-MOONLIGHT-250,Aroma Moonlight 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-MOONLIGHT,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-MOONLIGHT-500,Aroma Moonlight 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-MOONLIGHT,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-MOONLIGHT-1L,Aroma Moonlight 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-MOONLIGHT,Capacidad,1 L,1,1,,,,,,,
,variable,AR-PASION,Aroma Pasión,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/pasion.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Frutas rojas, mandarina",field_6a3739f9978a5,"Jazmín, rosa intensa",field_6a373a0b978a6,"Almizcle sensual, ámbar",field_6a373a15978a7
,variation,AR-PASION-150,Aroma Pasión 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-PASION,Capacidad,150 ML,1,1,,,,,,,
