ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto",¿Existencias?,Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,Marcas,"Meta: difusor","Meta: _difusor","Meta: color","Meta: _color","Meta: cobertura","Meta: _cobertura","Meta: control","Meta: _control","Meta: app","Meta: _app","Meta: capacidad","Meta: _capacidad","Meta: cantidad_de_aroma_de_regalo","Meta: _cantidad_de_aroma_de_regalo","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Meta: notas_de_salida","Meta: _notas_de_salida","Meta: notas_de_corazon","Meta: _notas_de_corazon","Meta: notas_de_fondo","Meta: _notas_de_fondo"
261,simple,,,"Box aromático Experiencia suprema",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1251,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_OS4WHITE_Dif_OS5WHITE_Dif_OW006WHITE.png,,,,,,,,,0,,OS-4,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,400,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"500 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,,,,,,,
262,simple,,,"Box aromático Proyección aromática",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1445,"Boxes, Control Wi-Fi",,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_ND800.png,,,,,,,,,0,,ND-800,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,250,field_6a1ecdb7c8040,Wifi,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"500 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,,,,,,,
263,simple,,,"Box aromático Magnitud sensorial",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1525,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_ND700_Dif_OS7-1.png,,,,,,,,,0,,OS-7,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,600,field_6a1ecdb7c8040,Wifi,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"850 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,,,,,,,
264,simple,,,"Box aromático Presencia monumental",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2145,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_OW020.png,,,,,,,,,0,,OW-020,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,1000,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"1000 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,,,,,,,
265,simple,,,"Box aromático Alcance supremo",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2625,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_OS6_Dif_OW030_OW010.png,,,,,,,,,0,,OW-030,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,1500,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"1000 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,,,,,,,
312,variable,AR-AURA,,"Aroma Aura",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Aromas,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/aura.png,,,,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L, 150 mL, 250 mL, 500 mL",1,1,"Durazno, pera jugosa",field_6a3739f9978a5,"Magnolia, flor de loto",field_6a373a0b978a6,"Vainilla, almizcle blanco",field_6a373a15978a7
313,variation,AR-AURA-150,,"Aroma Aura - 150 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,90.00,,,,,,,AR-AURA,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"150 mL",,1,,,,,,
314,variation,AR-AURA-250,,"Aroma Aura - 250 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,125.00,,,,,,,AR-AURA,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"250 mL",,1,,,,,,
315,variation,AR-AURA-500,,"Aroma Aura - 500 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,229.00,,,,,,,AR-AURA,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"500 mL",,1,,,,,,
316,variation,AR-AURA-1L,,"Aroma Aura - 1 L",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,439.00,,,,,,,AR-AURA,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L",,1,,,,,,
466,variable,AR-BLOSSOM,,"Aroma Blossom",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Aromas,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/blossom.png,,,,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L, 150 mL, 250 mL, 500 mL",1,1,"Frutas, cereza dulce",field_6a3739f9978a5,"Flores rosadas",field_6a373a0b978a6,"Almizcle, azucar floral",field_6a373a15978a7
467,variable,AR-CANELITA,,"Aroma Canelita",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Aromas,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/canelita.png,,,,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L, 150 mL, 250 mL, 500 mL",1,1,"Canela cálida, clavo de olor",field_6a3739f9978a5,"Nuez moscada, jengibre suave",field_6a373a0b978a6,"Azúcar morena, vainilla",field_6a373a15978a7
468,variable,AR-CARMESI,,"Aroma Carmesí",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Aromas,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/carmesi.png,,,,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L, 150 mL, 250 mL, 500 mL",1,1,"Grosella negra, frutos del bosque",field_6a3739f9978a5,"Peonía, flor de cerezo",field_6a373a0b978a6,"Ámbar rojo, musk sensual",field_6a373a15978a7
469,variable,AR-CITRUS-BLOOM,,"Aroma Citrus Bloom",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Aromas,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/citrus-bloom.png,,,,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L, 150 mL, 250 mL, 500 mL",1,1,"Limón, hierbas aromáticas",field_6a3739f9978a5,"Flores silvestres, hoja verde",field_6a373a0b978a6,"Almizcle, madera clara",field_6a373a15978a7
470,variable,AR-CLASSIC-BLUE,,"Aroma Classic Blue",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Aromas,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/classic-blue.png,,,,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L, 150 mL, 250 mL, 500 mL",1,1,"Limón siciliano, mandarina",field_6a3739f9978a5,"Cedro virgeniano, vetiver",field_6a373a0b978a6,"Madera seca, almizcle",field_6a373a15978a7
471,variation,AR-BLOSSOM-150,,"Aroma Blossom - 150 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,90.00,,,,,,,AR-BLOSSOM,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"150 mL",,1,,,,,,
472,variation,AR-BLOSSOM-250,,"Aroma Blossom - 250 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,125.00,,,,,,,AR-BLOSSOM,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"250 mL",,1,,,,,,
473,variation,AR-BLOSSOM-500,,"Aroma Blossom - 500 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,229.00,,,,,,,AR-BLOSSOM,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"500 mL",,1,,,,,,
